epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,898.993,1.11501,1.04042,0.96827,0.97125,0.76783,0.89832,0.6334,0.98928,0.87712,0.96513,0.00307,0.00307,0.00307
72,912.059,1.15353,1.22386,1.00912,0.80567,0.59091,0.7062,0.3666,1.65982,1.57898,1.22232,0.002971,0.002971,0.002971
73,924.637,1.03282,0.97496,0.98362,0.83997,0.75,0.78884,0.54929,1.12553,1.05305,1.05055,0.002872,0.002872,0.002872
74,937.283,1.09946,0.93357,1.02927,0.81238,0.79545,0.82995,0.60979,1.02196,0.91433,1.001,0.002773,0.002773,0.002773
75,949.877,1.05257,1.012,0.97729,0.89516,0.77629,0.82284,0.58396,0.99669,1.06767,1.01731,0.002674,0.002674,0.002674
76,962.527,1.06984,0.97219,0.99949,0.80813,0.77273,0.78256,0.50308,1.29967,1.44186,1.06847,0.002575,0.002575,0.002575
77,974.992,1.06381,0.93274,0.98988,0.96169,0.72727,0.83048,0.61489,0.93386,0.98963,0.94629,0.002476,0.002476,0.002476
78,987.41,0.91023,0.87164,0.92219,0.49921,0.38636,0.26667,0.09544,2.82876,3.51183,2.2324,0.002377,0.002377,0.002377
79,999.816,0.96587,0.91835,0.98675,0.87999,0.72727,0.81939,0.60136,0.95366,0.93344,0.94556,0.002278,0.002278,0.002278
80,1012.23,1.00556,0.99568,1.00853,0.84661,0.75268,0.80934,0.58214,0.97857,0.94453,0.97642,0.002179,0.002179,0.002179
81,1024.63,1.01612,0.80995,1.00975,0.7335,0.79545,0.80577,0.61264,0.92378,1.34243,0.9394,0.00208,0.00208,0.00208
82,1037.13,0.96393,0.88926,0.94829,0.85889,0.75,0.84004,0.63886,0.94225,0.93741,0.94934,0.001981,0.001981,0.001981
83,1049.68,0.97406,0.78092,0.95397,0.88035,0.75,0.82396,0.61928,0.99352,0.91007,0.98013,0.001882,0.001882,0.001882
84,1062.1,0.96928,0.89076,0.90601,0.81331,0.79213,0.81607,0.61087,0.97894,0.90132,0.97573,0.001783,0.001783,0.001783
85,1074.49,1.10119,1.07763,1.00181,0.81583,0.84091,0.83372,0.62423,0.97919,0.8872,0.98497,0.001684,0.001684,0.001684
86,1086.89,0.98457,0.82248,0.93736,0.92013,0.75,0.8435,0.63253,0.89205,0.82083,0.94492,0.001585,0.001585,0.001585
87,1099.98,0.90345,0.86174,0.90097,0.88789,0.77273,0.85658,0.65431,0.92526,0.84195,0.95472,0.001486,0.001486,0.001486
88,1112.42,0.85013,0.75777,0.93919,0.92624,0.77273,0.86799,0.66393,0.95839,0.85748,0.96311,0.001387,0.001387,0.001387
89,1124.98,0.89319,0.81793,0.94765,0.94061,0.77273,0.85771,0.64355,0.9488,0.86934,0.95095,0.001288,0.001288,0.001288
90,1137.35,0.98355,0.85077,1.01007,0.8032,0.77273,0.81906,0.58401,0.96229,1.10285,0.97087,0.001189,0.001189,0.001189
91,1150.1,0.81448,0.67811,0.90636,0.87255,0.79545,0.84515,0.63547,0.94556,0.89579,0.94464,0.00109,0.00109,0.00109
92,1162.61,0.8411,0.77129,0.90654,0.94351,0.75934,0.85882,0.64713,0.9231,0.82694,0.96397,0.000991,0.000991,0.000991
93,1174.97,0.74565,0.63692,0.80805,0.86215,0.71084,0.85939,0.61379,0.88508,0.92677,0.93816,0.000892,0.000892,0.000892
94,1187.32,0.77391,0.73883,0.87327,0.96187,0.72727,0.8565,0.6458,0.83938,0.84569,0.91938,0.000793,0.000793,0.000793
95,1199.68,0.80323,0.68803,0.86646,0.91611,0.74472,0.86247,0.65316,0.83657,0.88242,0.9208,0.000694,0.000694,0.000694
96,1212.04,0.73925,0.7165,0.81725,0.93339,0.79545,0.85693,0.64259,0.89029,0.81945,0.92622,0.000595,0.000595,0.000595
97,1224.51,0.9182,0.81632,0.91022,0.93673,0.77273,0.86932,0.67966,0.85149,0.82352,0.92403,0.000496,0.000496,0.000496
98,1237.08,0.76777,0.77153,0.87812,0.82635,0.81818,0.85192,0.62855,0.90763,0.88934,0.93226,0.000397,0.000397,0.000397
99,1249.57,0.745,0.60469,0.82832,0.85979,0.83629,0.87363,0.66498,0.87545,0.80924,0.93337,0.000298,0.000298,0.000298
100,1261.93,0.8694,0.68172,0.88108,0.88754,0.79545,0.87177,0.6502,0.87639,0.8148,0.93022,0.000199,0.000199,0.000199
